DateOfDeparture,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd
2012-06-19,ORD,DFW,12.875,12.331296223099999,9.81264711881
2012-09-10,LAS,DEN,14.2857142857,10.775181505399999,9.466733735510001
2012-10-05,DEN,LAX,10.8636363636,11.0831767533,9.03588325219
2011-10-09,ATL,ORD,11.48,11.169267842,7.990202333689999
2012-02-21,DEN,SFO,11.45,11.269363733099999,9.51715901882
2013-01-22,ATL,MCO,10.3636363636,12.073649191300001,8.23202488858
2011-10-20,SFO,LAS,15.2666666667,11.1739361192,9.80827705821
2012-01-28,EWR,ORD,8.588235294119999,9.59995239987,6.1650103764
2012-05-27,ATL,CLT,10.2380952381,9.17564514329,6.609877169090001
2013-02-22,ATL,DEN,8.29411764706,10.7343196822,5.542615649249999
2012-04-25,ATL,MSP,12.6,10.7693986302,9.72539630726
2013-01-31,ORD,EWR,8.933333333330001,12.3363028724,9.40719076533
2012-06-23,IAH,LAX,13.6296296296,10.267309839500001,9.17835307897
2011-09-12,LAX,ORD,12.8076923077,12.667557679000002,8.12905520104
2012-11-15,DFW,ORD,9.9,12.8790624325,6.60860682826
2012-03-04,ATL,DEN,10.5652173913,10.5612839988,7.590820335089999
2012-01-10,ORD,PHX,13.76,10.6498079399,9.9552331297
2013-02-13,SEA,SFO,7.0,11.7576441671,4.472135955
2012-06-15,EWR,MCO,12.875,10.515394758200001,9.66532349489
2012-02-03,ATL,MSP,9.84210526316,10.91421574,7.81922955778
2013-02-06,SFO,DEN,10.5238095238,10.9195671805,7.13876073012
2011-12-02,ORD,DTW,9.833333333330001,11.251559533399998,8.30485329403
2012-08-27,JFK,MIA,16.0689655172,10.2134717492,10.3472944514
2012-04-16,PHL,DFW,6.15384615385,11.3643598845,4.18023432051
2012-11-12,EWR,BOS,11.0,11.7405184659,8.71175853902
2011-09-08,ATL,PHL,8.68421052632,11.552415873,6.70035348635
2012-10-24,LAS,JFK,14.0357142857,11.4018690411,8.97107344358
2012-04-16,ORD,EWR,8.13333333333,12.1135127862,6.289068369190001
2012-03-14,PHL,ATL,8.176470588239999,11.529438468299999,6.61660122455
2012-07-24,EWR,SFO,13.96,10.624941228099999,10.9219961545
2011-11-19,SFO,ATL,9.52631578947,9.765837304789999,6.653056282250001
2012-05-02,JFK,MCO,13.851851851900001,10.6374160288,9.247468276000001
2013-03-04,MIA,JFK,13.0,9.890535076579999,8.88350531416
